Unknown Frame: size=13475, net_delay=34, decode_delay=8, encode_delay=13, total_delay=55, md5=db08313899f18e4e4cdf9268eb55eb60
Unknown Frame: size=12359, net_delay=34, decode_delay=7, encode_delay=12, total_delay=53, md5=59d493eac9a3c3ba8d4744cf8ebdd0ec
Unknown Frame: size=11802, net_delay=35, decode_delay=7, encode_delay=12, total_delay=54, md5=f743335c2c76f8ce7ef84b8f06365ccd
Unknown Frame: size=12590, net_delay=35, decode_delay=8, encode_delay=12, total_delay=55, md5=4611af9f72b877471779b1ac36fc42c3
Unknown Frame: size=13241, net_delay=33, decode_delay=8, encode_delay=14, total_delay=55, md5=fb9506c839bbe152b4f7d857c6c3aad6
Unknown Frame: size=11864, net_delay=36, decode_delay=7, encode_delay=12, total_delay=55, md5=ed00af03cdb92e7bf57a7ae4cc308494
Unknown Frame: size=13385, net_delay=33, decode_delay=7, encode_delay=14, total_delay=54, md5=dee52158958becf2d1bf863db46685b3
Unknown Frame: size=13367, net_delay=36, decode_delay=8, encode_delay=12, total_delay=56, md5=5735e08efc40b26825b67e6aec171c59
Unknown Frame: size=9972, net_delay=37, decode_delay=7, encode_delay=11, total_delay=55, md5=e58c347d7dc02d70779a34520d4bed4f
Unknown Frame: size=9595, net_delay=38, decode_delay=7, encode_delay=11, total_delay=56, md5=349dbcab39d8be57ce6cc5446e07f0f0
Unknown Frame: size=10516, net_delay=37, decode_delay=7, encode_delay=11, total_delay=55, md5=ca5280d43a1c038f9aeab695a59c182a
Unknown Frame: size=13119, net_delay=36, decode_delay=8, encode_delay=12, total_delay=56, md5=438262884e38d51e4601511b0fc41502
Unknown Frame: size=17432, net_delay=35, decode_delay=9, encode_delay=13, total_delay=57, md5=8d06b825147fff4e029338b364eff037
Unknown Frame: size=16550, net_delay=36, decode_delay=8, encode_delay=13, total_delay=57, md5=f0ffb3cc29752dd59a5ea1bb11a79d90
Unknown Frame: size=12696, net_delay=37, decode_delay=7, encode_delay=12, total_delay=56, md5=2094c7c430b3c7482719a5606f47efc8
Unknown Frame: size=8627, net_delay=37, decode_delay=7, encode_delay=11, total_delay=55, md5=071f66439fcdac840b24362174e419c5
Unknown Frame: size=14279, net_delay=37, decode_delay=8, encode_delay=12, total_delay=57, md5=3c6dd550381817bf9daf352b5dc38d08
Unknown Frame: size=45230, net_delay=66, decode_delay=15, encode_delay=20, total_delay=101, md5=8552af1e377130306ad57cd056eae890
Unknown Frame: size=21070, net_delay=65, decode_delay=17, encode_delay=15, total_delay=97, md5=cdf2877daff687220e911ada3c47d748
Unknown Frame: size=10863, net_delay=47, decode_delay=14, encode_delay=20, total_delay=81, md5=5e908f05825b05ab7ece4a332469715e
Unknown Frame: size=15656, net_delay=53, decode_delay=16, encode_delay=15, total_delay=84, md5=8fc895a7c768a0ff055497e819e206ae
Unknown Frame: size=13575, net_delay=52, decode_delay=10, encode_delay=14, total_delay=76, md5=4668ebe18f1d37fd813732a4037a2c82
Unknown Frame: size=17840, net_delay=51, decode_delay=11, encode_delay=16, total_delay=78, md5=e206df4580555172364dc401c26878d2
Unknown Frame: size=16298, net_delay=53, decode_delay=11, encode_delay=15, total_delay=79, md5=f26dca0f4d3d1ad7858c2c31a73b024c
Unknown Frame: size=12885, net_delay=57, decode_delay=9, encode_delay=13, total_delay=79, md5=008e13ef6a04bd9a551733cfaf782e90
Unknown Frame: size=10575, net_delay=56, decode_delay=8, encode_delay=13, total_delay=77, md5=b8a13011530a2a5046a2c5b70b88d042
Unknown Frame: size=16357, net_delay=58, decode_delay=9, encode_delay=13, total_delay=80, md5=68a9adc458dc2e06d8769c4dcfe9aefd
Unknown Frame: size=11556, net_delay=57, decode_delay=9, encode_delay=14, total_delay=80, md5=24a0bea32a1daaca8338dd80fbfb2faa
Unknown Frame: size=10899, net_delay=60, decode_delay=7, encode_delay=12, total_delay=79, md5=46fa3c8baa56b55c00814de809effc7f
Unknown Frame: size=10009, net_delay=62, decode_delay=7, encode_delay=12, total_delay=81, md5=8054113e5c23dd4d7da1ae4fd9f9374f
Unknown Frame: size=11637, net_delay=61, decode_delay=9, encode_delay=12, total_delay=82, md5=5c6bc45bf276f8a4d6cd0d90831d185a
Unknown Frame: size=15899, net_delay=60, decode_delay=8, encode_delay=13, total_delay=81, md5=8a49109b16c346ef1d3f40c91246d599
Unknown Frame: size=12060, net_delay=59, decode_delay=9, encode_delay=16, total_delay=84, md5=f5f91a3689761a71e9c245c170d6831a
Unknown Frame: size=14773, net_delay=61, decode_delay=9, encode_delay=14, total_delay=84, md5=051d5219197bcaabd5a8b4583f2b5d9a
Unknown Frame: size=13735, net_delay=58, decode_delay=9, encode_delay=16, total_delay=83, md5=fabf9ca1c4bcaa9641423111f0b6dbb2
Unknown Frame: size=9243, net_delay=64, decode_delay=7, encode_delay=11, total_delay=82, md5=bf7c837de94dcfd3c99df8faca4ef32e
Unknown Frame: size=10503, net_delay=63, decode_delay=8, encode_delay=11, total_delay=82, md5=4e44bead8776a7e17c0782792ab29a01
Unknown Frame: size=11412, net_delay=63, decode_delay=8, encode_delay=13, total_delay=84, md5=91edaeabaee9c755682df93169e373de
Unknown Frame: size=8215, net_delay=63, decode_delay=7, encode_delay=11, total_delay=81, md5=916e95c371e3716a1e48262fb4faa565
Unknown Frame: size=13467, net_delay=61, decode_delay=8, encode_delay=13, total_delay=82, md5=1a198685283172b6693a9d8c56fbb8cf
Unknown Frame: size=20283, net_delay=63, decode_delay=11, encode_delay=15, total_delay=89, md5=c1d899b8ea2da660a6cf8c07ceaa7ba4
Unknown Frame: size=19304, net_delay=61, decode_delay=11, encode_delay=15, total_delay=87, md5=ae822929cd6c69b9d3b21126c6495e33
