Unknown Frame: size=45536, net_delay=105, decode_delay=5, encode_delay=77, total_delay=187, md5=820897d5c0f42e86e2681f7a30c48e47
Unknown Frame: size=25111, net_delay=130, decode_delay=3, encode_delay=51, total_delay=184, md5=52bc239e4b33e2ad4ae4857fc808c5b6
Unknown Frame: size=28732, net_delay=127, decode_delay=4, encode_delay=52, total_delay=183, md5=985186ea88abcf128fe7f7a09149a267
Unknown Frame: size=48534, net_delay=122, decode_delay=5, encode_delay=58, total_delay=185, md5=56ed0fd5e2e6ff2eee5a8992f1fd394c
Unknown Frame: size=34549, net_delay=122, decode_delay=5, encode_delay=57, total_delay=184, md5=65b1f6b1e247efff8b3b5f57ae897169
Unknown Frame: size=46595, net_delay=121, decode_delay=5, encode_delay=60, total_delay=186, md5=7c386859198cf85dde5e04eba2441b1b
Unknown Frame: size=33265, net_delay=122, decode_delay=4, encode_delay=58, total_delay=184, md5=c6ffb9f094ed8d58ad346baae503cd34
Unknown Frame: size=37454, net_delay=134, decode_delay=3, encode_delay=46, total_delay=183, md5=131936547ef050143da3e53b09357196
Unknown Frame: size=29462, net_delay=134, decode_delay=4, encode_delay=44, total_delay=182, md5=d38adcdd867d84557f444ee44b968007
Unknown Frame: size=34565, net_delay=136, decode_delay=4, encode_delay=41, total_delay=181, md5=36b78a71f0fae07e7d835237fa0c9a21
Unknown Frame: size=52090, net_delay=129, decode_delay=5, encode_delay=49, total_delay=183, md5=21eedc224002458d97fa5e96beb5847a
Unknown Frame: size=56495, net_delay=130, decode_delay=4, encode_delay=51, total_delay=185, md5=14a16b71147d63198e6332c929f4f400
Unknown Frame: size=51158, net_delay=130, decode_delay=5, encode_delay=50, total_delay=185, md5=7bcfb3b1333c3e6e1a81535a5b9d5bf0
Unknown Frame: size=22615, net_delay=60, decode_delay=6, encode_delay=122, total_delay=188, md5=a5ea99c754b11694f84a34ea50fd73c7
Unknown Frame: size=4939, net_delay=105, decode_delay=2, encode_delay=76, total_delay=183, md5=8b799bbded2245f21e5b55e2a1dfff7d
Unknown Frame: size=5999, net_delay=124, decode_delay=2, encode_delay=54, total_delay=180, md5=a1215cd764a8e9baa2a2a0e2adbf435a
Unknown Frame: size=6843, net_delay=120, decode_delay=2, encode_delay=55, total_delay=177, md5=f4fe6552c7731883db889ac4ba625da1
Unknown Frame: size=6654, net_delay=119, decode_delay=2, encode_delay=53, total_delay=174, md5=53eb92fe6355edf8bc7ae2913813e091
