P Frame: size=21005,  delay=136, sendms=79148343, recvms=79148479, md5=1268a98b142d93ac1102b1b31ffbc9e5,
P Frame: size=19828,  delay=86, sendms=79148424, recvms=79148510, md5=66c8825ae5d708085020257da4e46c85,
P Frame: size=22542,  delay=82, sendms=79148490, recvms=79148572, md5=336ce28347a8d2024d5aa5e2716749a4,
P Frame: size=22416,  delay=84, sendms=79148574, recvms=79148658, md5=64b048eeec4a2043b0bbf79a40a4c6df,
P Frame: size=19968,  delay=79, sendms=79148664, recvms=79148743, md5=1442d5902f3d2c275b2e7e671936a011,
P Frame: size=19549,  delay=81, sendms=79148748, recvms=79148829, md5=317dabf5b4bb445e43e54f427ba09e86,
P Frame: size=17492,  delay=85, sendms=79148788, recvms=79148873, md5=c18deb6c5ef83a01b1c6176f636584b8,
P Frame: size=26396,  delay=86, sendms=79148832, recvms=79148918, md5=5bdd0b93abe93a9be8775b8fb0403b00,
P Frame: size=26414,  delay=82, sendms=79148879, recvms=79148961, md5=e33ea2663612cc905ff64442689fd60e,
P Frame: size=27000,  delay=84, sendms=79148923, recvms=79149007, md5=b7063c3ffe018524794a645ed1080365,
P Frame: size=27027,  delay=83, sendms=79148963, recvms=79149046, md5=5e73b32942d0c2d7428e6b5c7b82338a,
P Frame: size=26403,  delay=85, sendms=79149004, recvms=79149089, md5=20a6aad2abf755400aef9d9cb30ac27c,
P Frame: size=26690,  delay=90, sendms=79149044, recvms=79149134, md5=e1009469e305450fa6d2e6e8b4c14662,
P Frame: size=29240,  delay=87, sendms=79149089, recvms=79149176, md5=b7126a60382436517ceec5cdc2da0a8c,
P Frame: size=25998,  delay=87, sendms=79149129, recvms=79149216, md5=06639888281788f2e3dc6341bbf0f37d,
P Frame: size=31747,  delay=90, sendms=79149171, recvms=79149261, md5=0adafad4b32266f00433af4206abd340,
P Frame: size=30440,  delay=87, sendms=79149215, recvms=79149302, md5=196e26360216fb3e8a32bf7892fb1d39,
P Frame: size=29426,  delay=90, sendms=79149255, recvms=79149345, md5=5659c1a1ef5b63f115d8175f63451426,
P Frame: size=28978,  delay=90, sendms=79149298, recvms=79149388, md5=7faebabb99959d476e833e7a3e425918,
P Frame: size=28648,  delay=91, sendms=79149338, recvms=79149429, md5=9d2b88c61721a1ec3f16e6638d572d66,
P Frame: size=28281,  delay=90, sendms=79149383, recvms=79149473, md5=fbc9f2431907c438a8db21e7ccffae29,
P Frame: size=27070,  delay=91, sendms=79149426, recvms=79149517, md5=38b390629b821d4f02012e11037355eb,
P Frame: size=26984,  delay=88, sendms=79149468, recvms=79149556, md5=c23891220c64e0d772b6011c2ac8d145,
P Frame: size=30000,  delay=90, sendms=79149509, recvms=79149599, md5=77c2911a762442a8575ef5acacccb5a2,
P Frame: size=29596,  delay=90, sendms=79149552, recvms=79149642, md5=84096e9cceeae593fa27ddb7b3499226,
P Frame: size=30606,  delay=91, sendms=79149593, recvms=79149684, md5=738a42404e0030f220b8252179559bfb,
P Frame: size=29782,  delay=89, sendms=79149636, recvms=79149725, md5=b0497edbf97c91ab450fa07dcbc4a1ba,
P Frame: size=30067,  delay=91, sendms=79149678, recvms=79149769, md5=78bb4ae2ea410defa00c0b0b2e9a18f7,
P Frame: size=29501,  delay=84, sendms=79149727, recvms=79149811, md5=66a9486e4f373657db3f74d9a952f161,
P Frame: size=27604,  delay=91, sendms=79149761, recvms=79149852, md5=3fedf44846ea0f640c0de7343972e117,
P Frame: size=26950,  delay=91, sendms=79149804, recvms=79149895, md5=16bba637fcd807d9aa67018bcb5436fa,
P Frame: size=29878,  delay=92, sendms=79149846, recvms=79149938, md5=d4f6d45ff0d23578499dcfbb7d64a671,
P Frame: size=30337,  delay=92, sendms=79149890, recvms=79149982, md5=bc8e81f27c3d7d9474e73b10e9420af8,
P Frame: size=31014,  delay=90, sendms=79149933, recvms=79150023, md5=c4acb4fd1fd1d36d86cc19ca67b2418b,
P Frame: size=30094,  delay=92, sendms=79149974, recvms=79150066, md5=86a489169b14e9ecb7a98518a927dc31,
P Frame: size=29404,  delay=91, sendms=79150016, recvms=79150107, md5=ed53caafaa8f55e53ca5a1fdd1a88739,
P Frame: size=30362,  delay=92, sendms=79150058, recvms=79150150, md5=df12eda808499dba9e35764db7308ae1,
P Frame: size=27561,  delay=88, sendms=79150102, recvms=79150190, md5=2c194a4bc79d72408573a9b8343f8c5a,
P Frame: size=26830,  delay=91, sendms=79150142, recvms=79150233, md5=fa42ba6ed62d33beb43ae2b6a9f3799f,
P Frame: size=29212,  delay=90, sendms=79150186, recvms=79150276, md5=d20e2ce0f9dce0e63ac34e586351cf93,
P Frame: size=26533,  delay=90, sendms=79150226, recvms=79150316, md5=5e3106cc2a227a01c03b4b0ed4292d58,
P Frame: size=25658,  delay=93, sendms=79150268, recvms=79150361, md5=969b253089c028e84e868b601d472864,
P Frame: size=25356,  delay=89, sendms=79150312, recvms=79150401, md5=d675b55d9cc3e24971a5fa8364106172,
P Frame: size=27071,  delay=91, sendms=79150354, recvms=79150445, md5=ba694b40e5945eb83cab7b07903dca36,
I Frame: size=127913,  delay=179, sendms=79150409, recvms=79150588, md5=63579db96b8fd71b4038d1c22430292e,
P Frame: size=16223,  delay=158, sendms=79150445, recvms=79150603, md5=1a4079d065839bfcace2067fd5830294,
P Frame: size=115343,  delay=269, sendms=79150492, recvms=79150761, md5=7b68af67b77b76df1538d2a0758f42d0,
P Frame: size=17500,  delay=189, sendms=79150585, recvms=79150774, md5=56e5b6c1a1ec876eaa7b399b037ab5f2,
P Frame: size=18180,  delay=135, sendms=79150664, recvms=79150799, md5=2795a17dc3430b8af1f1b41a614a9269,
P Frame: size=17368,  delay=128, sendms=79150694, recvms=79150822, md5=afccf35c106666d86f2a7048b6c42dd4,
P Frame: size=16510,  delay=112, sendms=79150737, recvms=79150849, md5=374e018eff9ddce38f729072f5961adb,
P Frame: size=16837,  delay=113, sendms=79150779, recvms=79150892, md5=624af43d8d1b0f19ab7363b6052b21bc,
P Frame: size=16838,  delay=114, sendms=79150823, recvms=79150937, md5=ca3556a2ab0e054094d6ff439001065d,
P Frame: size=17250,  delay=113, sendms=79150865, recvms=79150978, md5=4000601a727696a431fce9c74edeed89,
P Frame: size=25586,  delay=112, sendms=79150910, recvms=79151022, md5=235a18137c96e8ec7ef8c1960aeb338a,
P Frame: size=26068,  delay=110, sendms=79150952, recvms=79151062, md5=c209a7fd36e3e8d00d407f3fc91ecbe8,
P Frame: size=25699,  delay=111, sendms=79150995, recvms=79151106, md5=207f39c1c82ed8a33aac856212981023,
P Frame: size=25816,  delay=110, sendms=79151036, recvms=79151146, md5=c33b5171d0e229cd59a5b50e48944569,
P Frame: size=25699,  delay=109, sendms=79151079, recvms=79151188, md5=79a61beb7c0711b273e0165e9b6e626a,
P Frame: size=25343,  delay=109, sendms=79151121, recvms=79151230, md5=723ba368db09af19dedd9721f185f568,
P Frame: size=26855,  delay=107, sendms=79151165, recvms=79151272, md5=b8f8b576f287a97566e0dda1df555a43,
P Frame: size=25653,  delay=108, sendms=79151205, recvms=79151313, md5=08bbc129ec6cbbe7c1ae35a4b3e0ad97,
P Frame: size=32212,  delay=106, sendms=79151250, recvms=79151356, md5=4616eeb014ecbfaea1ec3f37251207cc,
P Frame: size=30737,  delay=107, sendms=79151290, recvms=79151397, md5=6765399939824793e3c6f573477fc253,
P Frame: size=31468,  delay=107, sendms=79151332, recvms=79151439, md5=f1cfe587ba0451f6abe07e0df791cfd3,
P Frame: size=31915,  delay=107, sendms=79151374, recvms=79151481, md5=8d6a44c1a296c9cd7c2ff4944d47affb,
P Frame: size=31218,  delay=106, sendms=79151418, recvms=79151524, md5=314c8240523086f15c27ac80056ba4ec,
P Frame: size=32657,  delay=106, sendms=79151459, recvms=79151565, md5=3b2db35452074af4776507c5ac466405,
P Frame: size=31911,  delay=105, sendms=79151502, recvms=79151607, md5=73bc400f6f090bef78fc8efb18f93768,
P Frame: size=30566,  delay=104, sendms=79151544, recvms=79151648, md5=698c76764a638de9a460916100461f76,
P Frame: size=32602,  delay=103, sendms=79151588, recvms=79151691, md5=92359be4235ade2c0099dd4ccc8bd401,
P Frame: size=33225,  delay=105, sendms=79151629, recvms=79151734, md5=04ff6848d1b83aa8700ac7aa3b794b3b,
